Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
reactive power,1S,K5,kilovolt ampere (reactive),10³ V x A,kvar,Use kilovar (common code KVR)
reactive power,1S,KVR,kilovar,10³ V x A,kvar,
reactive power,1M,MAR,megavar,10³ V x A,kvar,A unit of electrical reactive power represented by a current of one thousand amperes flowing due a potential difference of one thousand volts where the sine of the phase angle between them is 1.
active energy,1,JOU,joule,J,J,
active energy,1,WHR,watt hour,"3,6 x 10³ J",W·h,
"coefficient, performance characteristic",1,N91,reciprocal joule,1/J,1/J,Reciprocal of the derived SI unit joule.
"coefficient, performance characteristic",1S,M30,reciprocal volt - ampere reciprocal second,(V x A x s)⁻¹,1/(V·A·s),
"coefficient, performance characteristic",2,M17,kilohertz metre,10³ Hz x m,kHz·m,
"coefficient, performance characteristic",2,M18,gigahertz metre,10⁹ Hz x m,GHz·m,
"coefficient, performance characteristic",2,M27,megahertz metre,10⁶ Hz x m,MHz·m,
"coefficient, performance characteristic",2,M21,reciprocal kilovolt - ampere reciprocal hour,"2,777 778 x 10⁻⁷ (V x A x s)⁻¹",1/kVAh,
"coefficient, performance characteristic",2,H34,hertz metre,Hz x m,Hz·m,
"coefficient, performance characteristic",2,H39,megahertz kilometre,10⁹ Hz x m,MHz·km,
frequency,1,HTZ,hertz,Hz,Hz,
circular frequency,1,C97,reciprocal second,s⁻¹,s⁻¹,
circular frequency,1,2A,radian per second,rad/s,rad/s,Refer ISO/TC12 SI Guide
wavelength,1,MTR,metre,m,m,
wavelength,1,A11,angstrom,10⁻¹⁰ m,Å,
"wavenumber, repetency",1,C92,reciprocal metre,m⁻¹,m⁻¹,
"angular wave number, angular repetency",1,C84,radian per metre,rad/m,rad/m,
velocity (speed) on propagation of electromagnetic waves in vacuo,1,MTS,metre per second,m/s,m/s,
radiant energy,1,JOU,joule,J,J,
radiant energy density,1,B8,joule per cubic metre,J/m³,J/m³,
radiant energy density,1M,JM,megajoule per cubic metre,10⁶ J/m³,MJ/m³,
"spectral concentration of radiant energy density (in terms of wavelength),spectral radiant energy density (in terms of wave length)",1,B14,joule per metre to the fourth power,J/m⁴,J/m⁴,
"radiant power, (radiant energyflux)",1,WTT,watt,W,W,
"radiant energy fluence, radiance exposure",1,B13,joule per square metre,J/m²,J/m²,Synonym: joule per metre squared
photon flux,1,C97,reciprocal second,s⁻¹,s⁻¹,
photon intensity,1,D1,reciprocal second per steradian,s⁻¹/sr,s⁻¹/sr,
"photon luminance, photon radiance",1,D2,reciprocal second per steradian metre squared,s⁻¹/(sr x m²),s⁻¹/(sr·m²),
"photon exitance, irradiance",1,C99,reciprocal second per metre squared,s⁻¹/m²,s⁻¹/m²,
photon exposure,1,C93,reciprocal square metre,m⁻²,m⁻²,Synonym: reciprocal metre squared
"radiant energy, fluence rate, radiant exitance, irradiance, first radiation constant",1,D54,watt per square metre,W/m²,W/m²,
"radiant energy, fluence rate, radiant exitance, irradiance, first radiation constant",1,H47,watt per cubic metre,m⁻¹ x kg x s⁻³,W/m³,
"radiant energy, fluence rate, radiant exitance, irradiance, first radiation constant",1M,H74,watt per metre,W m⁻¹,W/m,
"radiant energy fluence, radiance exposure",1M,E43,joule per square centimetre,10⁴ J/m²,J/cm²,A unit of energy defining the number of joules per square centimetre.
"radiant energy fluence, radiance exposure",2,P37,British thermal unit (international table) per square foot,"1,135 653 x 10⁴ J/m²",BtuIT/ft²,Unit of the areal-related energy transmission according to the Imperial system of units.
"radiant energy fluence, radiance exposure",2,P38,British thermal unit (thermochemical) per square foot,"1,134 893 x 10⁴ J/m²",Btuth/ft²,Unit of the areal-related energy transmission according to the Imperial system of units.
"radiant energy fluence, radiance exposure",2,P39,calorie (thermochemical) per square centimetre ,"4,184 x 10⁴ J/m²",calth/cm²,Unit of the areal-related energy transmission according to the Imperial system of units.
"radiant energy fluence, radiance exposure",2,P40,langley,"4,184 x 10⁴ J/m²",Ly,CGS (Centimetre-Gram-Second system) unit of the areal-related energy transmission (as a measure of the incident quantity of heat of solar radiation on the earth's surface).
radiant intensity,1,D57,watt per steradian,W/sr,W/sr,
radiance,1,D58,watt per steradian square metre,W/(sr x m²),W/(sr·m²),
Stefan-Boltzmann constant,1,D56,watt per square metre kelvin to the fourth power,W/(m² x K⁴),W/(m²·K⁴),
second radiation constant,1,D18,metre kelvin,m x K,m·K,
"emissivity, spectral emissivity, emissivity at a specified wavelength, directional spectral emissivity",1,C62,one,1,1,Synonym: unit
luminous intensity,1,CDL,candela,cd,cd,
luminous intensity,1M,P33,kilocandela,10³ cd,kcd,1000-fold of the SI base unit candela.
luminous intensity,1M,P34,millicandela,10⁻³ cd,mcd,"0,001-fold of the SI base unit candela."
luminous intensity,2,P35,Hefner-Kerze,"0,903 cd",HK,"Obsolete, non-legal unit of the power in Germany relating to DIN 1301-3:1979: 1 HK = 0,903 cd."
luminous intensity,2,P36,international candle ,"1,019 cd",IK,"Obsolete, non-legal unit of the power in Germany relating to DIN 1301-3:1979: 1 HK = 1,019 cd."
luminous flux,1,LUM,lumen,cd x sr,lm,
quantity of light,1,B62,lumen second,s x cd x sr,lm·s,
quantity of light,1S,B59,lumen hour,"3,6 x 10³ s x cd x sr",lm·h,
luminance,1,A24,candela per square metre,cd/m²,cd/m²,
luminance,2,P28,candela per square inch ,"1,550 003 x 10³ cd/m²",cd/in²,SI base unit candela divided by the power of unit inch according to the Anglo-American and Imperial system of units by exponent 2.
luminance,2,P29,footlambert,"3,426 259 cd/m²",ftL,"Unit of the luminance according to the Anglo-American system of units, defined as emitted or reflected luminance of a lm/ft²."
luminance,2,P30,lambert,"3,183 099 x 10³ cd/m²",Lb,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as the emitted or reflected luminance by one lumen per square centimetre."
luminance,2,P31,stilb,10⁴ cd/m²,sb,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as emitted or reflected luminance by one lumen per square centimetre."
luminance,2,P32,candela per square foot,"1,076 391 x 10 cd/m²",cd/ft²,Base unit SI candela divided by the power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2.
luminous exitance,1,B60,lumen per square metre,cd x sr/m²,lm/m²,
illuminance,1,LUX,lux,cd x sr / m²,lx,
illuminance,1M,KLX,kilolux,10³ cd x sr / m²,klx,A unit of illuminance equal to one thousand lux.
illuminance,2,P25,lumen per square foot ,"1,076 391 x 10¹ cd x sr / m²",lm/ft²,Derived SI unit lumen divided by the power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2.
illuminance,2,P26,phot,10⁴ cd x sr / m²,ph,"CGS (Centimetre-Gram-Second system) unit of the illuminance, defined as lumen by square centimetre."
illuminance,2,P27,footcandle,"1,076 391 x 10¹ cd x sr / m²",ftc,"Non SI conform traditional unit, defined as density of light which impinges on a surface which has a distance of one foot from a light source, which shines with an intensity of an international candle."
light exposure,1,B64,lux second,s x cd x sr / m²,lx·s,
light exposure,1S,B63,lux hour,"3,6 x 10³ s x cd x sr / m²",lx·h,
"luminious efficacy, spectral luminous efficacy, luminous efficacy at a specified wavelength, maximum spectral luminous efficacy",1,B61,lumen per watt,cd x sr/W,lm/W,
"luminous efficiency, spectral luminous efficiency,luminous efficiency at a specified wavelength",1,C62,one,1,1,Synonym: unit
CIE colorimetric functions,1,C62,one,1,1,Synonym: unit
coordinates trichromatic,1,C62,one,1,1,Synonym: unit
"spectral absorption factor, spectral absorptance, spectral reflectionfactor,spectral reflectance, spectral transmission factor, spectral transmittance, spectral radiance factor",1,C62,one,1,1,Synonym: unit
optical density,1,C62,one,1,1,Synonym: unit
refractive index,1,C62,one,1,1,Synonym: unit
"linear attenuation coefficient, linear extinction coefficient,linear absorption coefficient",1,C92,reciprocal metre,m⁻¹,m⁻¹,
molar absorption coefficient,1,D22,square metre per mole,m²/mol,m²/mol,
"object distance, image distance, focal distance",1,MTR,metre,m,m,
"vergence, lens power",1,C92,reciprocal metre,m⁻¹,m⁻¹,
"period, periodic time",1,SEC,second [unit of time],s,s,
frequency,1,HTZ,hertz,Hz,Hz,
frequency interval,1,C59,octave,,,A unit used in music to describe the ratio in frequency between notes.
"angular frequency, pulsatance",1,C97,reciprocal second,s⁻¹,s⁻¹,
"angular frequency, pulsatance",1,2A,radian per second,rad/s,rad/s,Refer ISO/TC12 SI Guide
wavelength,1,MTR,metre,m,m,
"repetency, wavenumber",1,C92,reciprocal metre,m⁻¹,m⁻¹,
"angular repetency, angular wavenumber",1,C84,radian per metre,rad/m,rad/m,
"volumic mass, density, mass density",1,KMQ,kilogram per cubic metre,kg/m³,kg/m³,A unit of weight expressed in kilograms of a substance that fills a volume of one cubic metre.
"static pressure, (instantaneous) sound pressure",1,PAL,pascal,Pa,Pa,
"static pressure, (instantaneous) sound pressure",1,BAR,bar [unit of pressure],10⁵ Pa,bar,
"static pressure, (instantaneous) sound pressure",2,D9,dyne per square centimetre,10⁻¹ Pa,dyn/cm²,
(instantaneous) sound particle displacement,1,MTR,metre,m,m,
(instantaneous) sound particle velocity,1,MTS,metre per second,m/s,m/s,
(instantaneous) sound particle acceleration,1,MSK,metre per second squared,m/s²,m/s²,
(instantaneous) volume flow rate,1,MQS,cubic metre per second,m³/s,m³/s,
"velocity of sound (phase velocity), group velocity",1,MTS,metre per second,m/s,m/s,
"sound energy density, volumic, sound energy",1,B8,joule per cubic metre,J/m³,J/m³,
"sound energy density, volumic, sound energy",2,A60,erg per cubic centimetre,10⁻¹ J/m³,erg/cm³,
sound power,1,WTT,watt,W,W,
sound power,2,A63,erg per second,10⁻⁷ W,erg/s,
sound intensity,1,D54,watt per square metre,W/m²,W/m²,
sound intensity,1S,C32,milliwatt per square metre,10⁻³ W/m²,mW/m²,
sound intensity,1S,D85,microwatt per square metre,10⁻⁶ W/m²,µW/m²,
sound intensity,1S,C76,picowatt per square metre,10⁻¹² W/m²,pW/m²,
sound intensity,2,A64,erg per second square centimetre,10⁻³ W/m²,erg/(s·cm²),
characteristic impedance of a medium,1,C67,pascal second per metre,Pa x s/m,Pa· s/m,
surface density of mechanical impedance,2,A50,dyne second per cubic centimetre,10 Pa x s/m,dyn·s/cm³,
acoustic impedance,1,C66,pascal second per cubic metre,Pa x s/m³,Pa·s/m³,
acoustic impedance,2,A52,dyne second per centimetre to the fifth power,10⁵ Pa x s/m³,dyn·s/cm⁵,
acoustic impedance,2,M32,pascal second per litre,10³ Pa x s/m³,Pa·s/l,
mechanical impedance,1,C58,newton second per metre,N x s/m,N·s/m,
mechanical impedance,2,A51,dyne second per centimetre,10⁻³ N x s/m,dyn·s/cm,
"sound pressure level, sound power level",1,2N,decibel,"0,115 129 3 Np",dB,
"sound pressure level, sound power level",1M,P43,bel per metre,B/m,B/m,Unit bel divided by the SI base unit metre.
damping coefficient,1,C97,reciprocal second,s⁻¹,s⁻¹,
"sound pressure level, sound power level",1,H51,decibel per kilometre,10⁻⁴ B/m,dB/km,
"sound pressure level, sound power level",1,H52,decibel per metre,10⁻¹ B/m,dB/m,
damping coefficient,1,C51,neper per second,Np/s,Np/s,
"time constant, relaxation time",1,SEC,second [unit of time],s,s,
logarithmic decrement,1,C50,neper,Np,Np,
"attenuation coefficient, phase coefficient, propagation coefficient",1,C92,reciprocal metre,m⁻¹,m⁻¹,
"dissipation factor, dissipance, reflection factor, reflectance, transmission factor, transmittance, absorption factor, absorbance",1,C62,one,1,1,Synonym: unit
sound reduction index,1,2N,decibel,"0,115 129 3 Np",dB,
equivalent absorption area of a surface or object,1,MTK,square metre,m²,m²,
reverberation time,1,SEC,second [unit of time],s,s,
loudness level,1,C69,phon,,,A unit of subjective sound loudness. A sound has loudness p phons if it seems to the listener to be equal in loudness to the sound of a pure tone of frequency 1 kilohertz and strength p decibels.
loudness,1,D15,sone,,,A unit of subjective sound loudness. One sone is the loudness of a pure tone of frequency one kilohertz and strength 40 decibels.
sound exposure,1,P42,pascal squared second,m⁻² x kg² x s⁻³,Pa²·s,Unit of the set as a product of the power of derived SI unit pascal with exponent 2 and the SI base unit second.
logarithmic decrement,2,P41,decade (logarithmic),dec,dec,"1 Dec := log2 10 ˜ 3,32 according to the logarithm for frequency range between f1 and f2, when f2/f1 = 10."
relative atomic mass,1,C62,one,1,1,Synonym: unit
relative molecular mass,1,C62,one,1,1,Synonym: unit
number of molecules or other elementary entities,1,C62,one,1,1,Synonym: unit
amount of substance,1,C34,mole,mol,mol,
amount of substance,1S,B45,kilomole,10³ mol,kmol,
amount of substance,1S,C18,millimole,10⁻³ mol,mmol,
amount of substance,1S,FH,micromole,10⁻⁶ mol,µmol,
amount of substance,2,P44,pound mole,"453,592 4 mol",lbmol,Non SI-conforming unit of quantity of a substance relating that one pound mole of a chemical composition corresponds to the same number of pounds as the molecular weight of one molecule of this composition in atomic mass units.
Avogadro constant,1,C95,reciprocal mole,mol⁻¹,mol⁻¹,
molar mass,1,D74,kilogram per mole,kg/mol,kg/mol,
molar mass,1S,A94,gram per mole,10⁻³ kg/mol,g/mol,
molar volume,1,A40,cubic metre per mole,m³/mol,m³/mol,
molar volume,1S,A37,cubic decimetre per mole,10⁻³ m³/mol,dm³/mol,
molar volume,1S,A36,cubic centimetre per mole,10⁻⁶ m³/mol,cm³/mol,
molar volume,1M,B58,litre per mole,10⁻³ m³/mol,l/mol,
molar thermodynamic energy,1,B15,joule per mole,J/mol,J/mol,
molar thermodynamic energy,1S,B44,kilojoule per mole,10³ J/mol,kJ/mol,
chemical potential,1,B15,joule per mole,J/mol,J/mol,
absolute activity,1,C62,one,1,1,Synonym: unit
affinity (of a chemical reaction),1,B15,joule per mole,J/mol,J/mol,
standard equilibrium constant,1,C62,one,1,1,Synonym: unit
"molar heat capacity, molar entropy, molar gas constant",1,B16,joule per mole kelvin,J/(mol x K),J/(mol·K),
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",1,C86,reciprocal cubic metre,m⁻³,m⁻³,
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",1M,H50,reciprocal cubic centimetre,10⁶ m⁻³,cm⁻³,
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",1S,L20,reciprocal cubic millimetre,10⁹ m⁻³,1/mm³,
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",2,K20,reciprocal cubic foot,"35,314 66 m⁻³",1/ft³,
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",2,K49,reciprocal cubic inch,"6,102 375 9 x 10⁴ m⁻³",1/in³,
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",2,K63,reciprocal litre,10³ m⁻³,1/l,
"volumic number of molecules (or particles), number density of molecules  (or particles), molecular concentration of B",2,M10,reciprocal cubic yard,"1,307 951 m⁻³",1/yd³,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1,KMQ,kilogram per cubic metre,kg/m³,kg/m³,A unit of weight expressed in kilograms of a substance that fills a volume of one cubic metre.
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1,C36,mole per cubic metre,mol/m³,mol/m³,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1,C38,mole per litre,10³ mol/m³,mol/l,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,B35,kilogram per litre,10³ kg/m³,kg/l or kg/L,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,C35,mole per cubic decimetre,10³ mol/m³,mol/dm³,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,B46,kilomole per cubic metre,10³ mol/m³,kmol/m³,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,E95,mole per second,s⁻¹ x mol,mol/s,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,M33,millimole per litre,mol/m³,mmol/l,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,P51,mol per kilogram pascal,m x kg⁻² x s² x mol,(mol/kg)/Pa,SI base unit mol divided by the product of the SI base unit kilogram and the derived SI unit pascal.
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",1S,P52,mol per cubic metre pascal,m⁻² x kg⁻¹ x s² x mol,(mol/m³)/Pa,SI base unit mol divided by the product of the power from the SI base unit metre with exponent 3 and the derived SI unit pascal.
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,K59,kilomole per cubic metre kelvin,10³ (mol/m³)/K,(kmol/m³)/K,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,K60,kilomole per cubic metre bar,10⁻² (mol/m³)/Pa,(kmol/m³)/bar,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,K93,reciprocal psi,"1,450 377 x 10⁻⁴ Pa⁻¹",1/psi,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,L24,mole per kilogram kelvin,(mol/kg)/K,(mol/kg)/K,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,L25,mole per kilogram bar,10⁻⁵ (mol/kg)/Pa,(mol/kg)/bar,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,L26,mole per litre kelvin,10³ (mol/m³)/K,(mol/l)/K,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,L27,mole per litre bar,10⁻² (mol/m³)/Pa,(mol/l)/bar,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,L28,mole per cubic metre kelvin,(mol/m³)/K,(mol/m³)/K,
"volumic mass, mass density, density, mass concentration of B, amount of substance, concentration of B",2,L29,mole per cubic metre bar,10⁻⁵ (mol/m³)/Pa,(mol/m³)/bar,
"mole fraction of B, mole ratio of solute B",1,C62,one,1,1,Synonym: unit
molality of solute B,1,C19,mole per kilogram,mol/kg,mol/kg,
volumic dose,1,D93,second per cubic metre,s/m³,s/m³,
ionic strength,1S,D87,millimole per kilogram,10⁻³ mol/kg,mmol/kg,
ionic strength,1M,H68,millimole per gram,mol x kg⁻¹,mmol/g,
ionic strength,1M,P47,kilomole per kilogram,10³ mol/kg,kmol/kg,1000-fold of the SI base unit mol divided by the SI base unit kilogram.
ionic strength,2,P48,pound mole per pound,10³ mol/kg,lbmol/lb,Non SI-conforming unit of the material molar flux divided by the avoirdupois pound for mass according to the avoirdupois unit system.
degree of dissociation,1,C62,one,1,1,Synonym: unit
"partial pressure of B (in a gaseous mixture), fugacity of B (in a gaseous mixture), osmotic pressure",1,PAL,pascal,Pa,Pa,
standard absolute activity of B (in a gaseous mixture),1,C62,one,1,1,Synonym: unit
activity coefficient of B (in a liquid as a solid mixture),1,C62,one,1,1,Synonym: unit
standard absolute activity of B (in a liquid or a solid mixture),1,C62,one,1,1,Synonym: unit
"activity coefficient of solute B (especially in a dilute solution),standard absolute activity of solute B (especially in a dilute solution)",1,C62,one,1,1,Synonym: unit
"activity of solvent A, relative activity of solvent A (especially in a dilute solution), osmotic coefficient of the solvent A (especially in a dilute solution), standard absolute activity of solvent A (especially in a dilute solution)",1,C62,one,1,1,Synonym: unit
catalytic activity,1M,KAT,katal,s⁻¹ x mol,kat,A unit of catalytic activity defining the catalytic activity of enzymes and other catalysts.
catalytic activity,1S,E94,kilomole per second,10³ s⁻¹ x mol,kmol/s,
catalytic activity,2,P45,pound mole per second,"4,535 924 x 10² mol/s",lbmol/s,Non SI-conforming unit of the power of the amount of substance non-SI compliant unit of the molar flux relating that a pound mole of a chemical composition the same number of pound corresponds like the molecular weight of a molecule of this composition in atomic mass units.
catalytic activity,2,P46,pound mole per minute,"7,559 873 mol/s",lbmol/h,Non SI-conforming unit of the power of the amount of substance non-SI compliant unit of the molar flux relating that a pound mole of a chemical composition the same number of pound corresponds like the molecular weight of a molecule of this composition in atomic mass units.
stoichiometric number of B,1,C62,one,1,1,Synonym: unit
mass of molecule,1,KGM,kilogram,kg,kg,A unit of mass equal to one thousand grams.
mass of molecule,1,D43,unified atomic mass unit,"1,660 538 782 x 10⁻²⁷ kg",u,
electric dipole moment of molecule,1,A26,coulomb metre,A x s x m,C·m,
electric polarizability of a molecule,1,A27,coulomb metre squared per volt,A² x  s⁴/kg,C·m²/V,
"microcanonical partition function, canonical partition function, grand-canonical partition function, grand partition function, molecular partition function, partition function of a molecule",1,C62,one,1,1,Synonym: unit
statistical weight,1,C62,one,1,1,Synonym: unit
Boltzmann constant,1,JE,joule per kelvin,J/K,J/K,
mean free path,1,MTR,metre,m,m,
diffusion coefficient,1,S4,square metre per second,m²/s,m²/s,Synonym: metre squared per second (square metres/second US)
"thermal diffusion ratio, thermal diffusion factor",1,C62,one,1,1,Synonym: unit
thermal diffusion coefficient,1,S4,square metre per second,m²/s,m²/s,Synonym: metre squared per second (square metres/second US)
proton number,1,C62,one,1,1,Synonym: unit
elementary charge,1,COU,coulomb,A x s,C,
charge number of ion,1,C62,one,1,1,Synonym: unit
Faraday constant,1,A32,coulomb per mole,A x s/mol,C/mol,
electrolytic conductivity,1,D10,siemens per metre,S/m,S/m,
molar conductivity,1,D12,siemens square metre per mole,S x m²/mol,S·m²/mol,
molar flux,1S,K58,kilomole per hour,"2,777 78 x 10⁻¹ mol/s",kmol/h,
molar flux,1S,K61,kilomole per minute,"16,666 7 mol/s",kmol/min,
molar flux,1S,L23,mole per hour,"2,777 78 x 10⁻⁴ mol/s",mol/h,
molar flux,1S,L30,mole per minute,"1,666 67 x 10⁻² mol/s",mol/min,
"transport number of ion B, current fraction of ion B",1,C62,one,1,1,Synonym: unit
angle of optical rotation,1,C81,radian,rad,rad,
molar optical rotatory power,1,C82,radian square metre per mole,rad x m²/mol,rad·m²/mol,
"massic optical, rotatory power, specific optical rotatory power",1,C83,radian square metre per kilogram,rad x m²/kg,rad·m²/kg,
magnetic dipole moment,1S,P49,newton square metre per ampere,m³ x kg x s⁻²  x A⁻¹,N·m²/A,Product of the derived SI unit newton and the power of SI base unit metre with exponent 2 divided by the SI base unit ampere.
magnetic dipole moment,1S,P50,weber metre,m³ x kg x s⁻²  x A⁻¹,Wb·m,Product of the derived SI unit weber and SI base unit metre.
acidity and alkalinity,2,Q30,pH (potential of Hydrogen),#NAME?,pH,The activity of the (solvated) hydrogen ion (a logarithmic measure used to state the acidity or alkalinity of a chemical solution).
"proton number, atomic number",1,C62,one,1,1,Synonym: unit
neutron number,1,C62,one,1,1,Synonym: unit
"nucleon number, mass number",1,C62,one,1,1,Synonym: unit
"mass of atom (of a nuclide x), nuclidic mass",1,KGM,kilogram,kg,kg,A unit of mass equal to one thousand grams.
"mass of atom (of a nuclide x), nuclidic mass, unified atomic mass constant",1,D43,unified atomic mass unit,"1,660 538 782 x 10⁻²⁷ kg",u,
"(rest) mass of electron, (rest) mass of proton, (rest) mass of neutron",1,C62,one,1,1,Synonym: unit
mass excess,1,KGM,kilogram,kg,kg,A unit of mass equal to one thousand grams.
mass defect,1,D43,unified atomic mass unit,"1,660 538 782 x 10⁻²⁷ kg",u,
"relative mass excess, relative mass defect",1,C62,one,1,1,Synonym: unit
"packing fraction, binding fraction",1,C62,one,1,1,Synonym: unit
elementary charge,1,COU,coulomb,A x s,C,
Planck constant,1,B18,joule second,J x s,J·s,
Bohr radius,1,MTR,metre,m,m,
Bohr radius,1,A11,angstrom,10⁻¹⁰ m,Å,
Rydberg constant,1,C92,reciprocal metre,m⁻¹,m⁻¹,
Hartree energy,1,JOU,joule,J,J,
"magnetic moment of particle, Bohr magneton, nuclear magneton ornucleus",1,A5,ampere square metre,A x m²,A·m²,
"gyromagnetic coefficient, (gyromagnetic ratio)",1,A10,ampere square metre per joule second,(A x s)/kg,A·m²/(J·s),
"g-factor of atom or electron, g-factor of nucleus",1,C62,one,1,1,Synonym: unit
Larmor angular frequency,1,C97,reciprocal second,s⁻¹,s⁻¹,
"nuclear precession, cyclotron angular frequency",1,2A,radian per second,rad/s,rad/s,Refer ISO/TC12 SI Guide
nuclear quadrupole moment,1,MTK,square metre,m²,m²,
"nuclear radius, electron radius, Compton wavelength",1,MTR,metre,m,m,
orbital angular momentum quantum number,1,C62,one,1,1,Synonym: unit
spin angular momentum quantum number,1,C62,one,1,1,Synonym: unit
total angular momentum quantum number,1,C62,one,1,1,Synonym: unit
nuclear spin quantum number,1,C62,one,1,1,Synonym: unit
hyperfine structure quantum number,1,C62,one,1,1,Synonym: unit
principle quantum number,1,C62,one,1,1,Synonym: unit
magnetic quantum number,1,C62,one,1,1,Synonym: unit
fine structure constant,1,C62,one,1,1,Synonym: unit
"mean life, half life",1,SEC,second [unit of time],s,s,
"level width, alpha disintegration energy",1,JOU,joule,J,J,
"maximum beta particle energy, beta disintegration energy",1,A53,electronvolt,"1,602 176 487 x 10⁻¹⁹ J",eV,
internal conversion factor,1,C62,one,1,1,Synonym: unit
activity,2,CUR,curie,"3,7 x 10¹⁰ Bq",Ci,
activity,2S,MCU,millicurie,"3,7 x 10⁷ Bq",mCi,
activity,2S,M5,microcurie,"3,7 x 10⁴ Bq",µCi,
activity,2S,2R,kilocurie,"3,7 x 10¹³ Bq",kCi,
activity,1,BQL,becquerel,"27,027 x 10⁻¹² Ci",Bq,
activity,1M,GBQ,gigabecquerel,10⁹ Bq,GBq,
activity,1S,2Q,kilobecquerel,10³ Bq,kBq,
activity,1S,4N,megabecquerel,10⁶ Bq,MBq,
activity,1M,H08,microbecquerel,10⁻⁶ Bq,µBq,
specific activity in a sample,2,A42,curie per kilogram,"3,7 x 10¹⁰ Bq/kg",Ci/kg,
specific activity in a sample,1,A18,becquerel per kilogram,"27,027 x 10⁻¹² Ci/kg",Bq/kg,
specific activity in a sample,1S,B67,megabecquerel per kilogram,10⁶ Bq/kg,MBq/kg,
specific activity in a sample,1S,B25,kilobecquerel per kilogram,10³ Bq/kg,kBq/kg,
"volumic activity, activity concentration",1,A19,becquerel per cubic metre,Bq/m³,Bq/m³,
"decay constant, disintegration constant",1,C97,reciprocal second,s⁻¹,s⁻¹,
reaction energy,1,JOU,joule,J,J,
resonance energy,1,A53,electronvolt,"1,602 176 487 x 10⁻¹⁹ J",eV,
"average energy loss per ion, pair formed, (average energy  loss per elementary charge of the same sign produced)",2,A57,erg,10⁻⁷J,erg,
cross-section,1,MTK,square metre,m²,m²,
total cross-section,1,A14,barn,10⁻²⁸ m²,b,
angular cross-section,1,D24,square metre per steradian,m²/sr,m²/sr,
angular cross-section,1,A17,barn per steradian,1 x 10⁻²⁸ m²/sr,b/sr,
spectral cross-section,1,D20,square metre per joule,m²/J,m²/J,
spectral cross-section,1,A15,barn per electronvolt,"6,241 51 x 10⁻¹⁰ m²/J",b/eV,
spectral cross-section,2,D16,square centimetre per erg,10³ m²/J,cm²/erg,
spectral angular cross-section,1,D25,square metre per steradian joule,m²/(sr x J),m²/(sr·J),
spectral angular cross-section,1,A16,barn per steradian electronvolt,"6,241 51 x 10⁻¹⁰ m²/(sr xJ)",b/(sr·eV),
spectral angular cross-section,2,D17,square centimetre per steradian erg,10³ m²/(sr x J),cm²/(sr·erg),
"macroscopic cross-section, volumic cross-section, volumic total cross-section, macroscopic total cross-section",1,C92,reciprocal metre,m⁻¹,m⁻¹,
particle fluence,1,C93,reciprocal square metre,m⁻²,m⁻²,Synonym: reciprocal metre squared
"particle fluence rate, (partical flux density), neutron fluence rate, (neutronflux density), current density of particles",1,B81,reciprocal metre squared reciprocal second,m⁻²/s,m⁻²/s,
energy fluence,1,B13,joule per square metre,J/m²,J/m²,Synonym: joule per metre squared
"energy fluence rate, (energy flux density)",1,D54,watt per square metre,W/m²,W/m²,
"energy fluence rate, (energy flux density)",2,A65,erg per square centimetre second,10⁻³ W/m²,erg/(cm²·s),
linear attenuation coefficient,1,C92,reciprocal metre,m⁻¹,m⁻¹,
mass attenuation coefficient,1,D21,square metre per kilogram,m²/kg,m²/kg,
molar attenuation coefficient,1,D22,square metre per mole,m²/mol,m²/mol,
